Company,Date,Field,Latitude,Longitude,State,Progress,Era
GoHealth,7/10/2018,Data Science,41.895,-87.634,Illinois,Online,Data Science Desperation
CNA Insurance,7/10/2018,Data Science,41.885,-87.63,Illinois,Online,Data Science Desperation
Ameritrade,7/10/2018,Data Science,41.883,-87.631,Illinois,Online,Data Science Desperation
Quotient Tech,7/10/2018,Data Science,39.2,-84.37,Ohio,Online,Data Science Desperation
Expedia,7/11/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Civis Analytics,7/11/2018,Data Science,41.88,-87.63,Illinois,Phone,Data Science Desperation
MSH Group,7/16/2018,General,,,,Online,Data Science Desperation
Avanade,7/16/2018,General,,,,Online,Data Science Desperation
Verizon,7/16/2018,Data Science,41.8,-87.59,Illinois,Online,Data Science Desperation
Blue Cross,7/16/2018,Data Science,41.88,-87.62,Illinois,Online,Data Science Desperation
Balyasny Asset Management,7/16/2018,Data Science,41.86,-87.64,Illinois,Online,Data Science Desperation
Enova International,7/16/2018,Data Science,41.878,-87.633,Illinois,Interview,Data Science Desperation
IT Associates,7/17/2018,General,,,,Online,Data Science Desperation
Unnamed,7/17/2018,General,,,,Online,Data Science Desperation
Workbridge Assoc,7/17/2018,General,,,,Online,Data Science Desperation
RandStad TEch,7/17/2018,General,,,,Online,Data Science Desperation
Enova International,7/23/2018,Data Science,41.878,-87.633,Illinois,Online,Data Science Desperation
Comcast,7/23/2018,Data Science,41.91,-87.66,Illinois,Online,Data Science Desperation
Apex Systems,7/23/2018,Data Science,41.88,-87.6372,Illinois,Online,Data Science Desperation
Viral Launch,7/23/2018,Data Science,39.77,-86.16,Indiana,Online,Data Science Desperation
Mathematica,7/23/2018,Data Science,41.89,-87.62,Illinois,Online,Data Science Desperation
Journera,7/23/2018,General,,,,Online,Data Science Desperation
Evonik,7/23/2018,CEMS,30.51,-88.14,Alabama,Interview,Data Science Desperation
Blackbird Garage,7/23/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Ascendum,7/24/2018,Data Science,39.25,-84.38,Illinois,Online,Data Science Desperation
Brooksource,7/24/2018,Data Science,39.91,-86.11,Indiana,Online,Data Science Desperation
Altair,7/24/2018,Data Science,39.81,-86.25,Indiana,Online,Data Science Desperation
Trunk Club,7/26/2018,Data Science,41.89,-87.64,Illinois,Online,Data Science Desperation
Wyzant,7/26/2018,Data Science,41.91,-87.68,Illinois,Online,Data Science Desperation
Boeing,7/30/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Monsanto,7/30/2018,Data Science,39.68,-90.4,Missouri,Online,Data Science Desperation
Indiana Univ.,7/31/2018,Data Science,39.17,-86.51,Indiana,Online,Data Science Desperation
E Trade,8/1/2018,Data Science,41.88,-87.636,Illinois,Online,Data Science Desperation
Zurich Insurance,8/1/2018,Data Science,41.88,-87.638,Illinois,Online,Data Science Desperation
"Quadratic Systems, Inc",8/3/2018,Data Science,42.04,-88.05,Illinois,Online,Data Science Desperation
Satcon Technology Corporation,8/5/2018,Data Science,42.34,-71.03,Massachusetts,Online,Data Science Desperation
Centro,8/5/2018,Data Science,41.88,-87.62,Illinois,Online,Data Science Desperation
Best Buy,8/5/2018,Data Science,44.86,-93.3,Minnesota,Online,Data Science Desperation
Amdoc,8/7/2018,Data Science,38.65,-90.53,Missouri,Online,Data Science Desperation
Centro,8/7/2018,Data Science,41.88,-87.62,Illinois,Online,Data Science Desperation
System One,8/7/2018,Data Science,39.25,-84.45,Ohio,Online,Data Science Desperation
Eli Lilly,8/7/2018,Data Science,39.75,-86.18,Indiana,Online,Data Science Desperation
Madison Wells,10/8/2018,Data Science,41.96,-87.67,Illinois,Online,Data Science Confidence
Eli Lilly,10/9/2018,Data Science,39.75,-86.18,Indiana,Online,Data Science Confidence
Monsanto,10/9/2018,Data Science,39.68,-90.4,Missouri,Online,Data Science Confidence
Eli Lilly,10/18/2018,Data Science,39.75,-86.18,Indiana,Online,Data Science Confidence
Good Year,10/18/2018,Data Science,41.06,-81.48,Ohio,Phone,Data Science Confidence
Carmax,10/23/2018,Data Science,37.53,-77.43,Virginia,Phone,Data Science Confidence
Civis Analytics,10/29/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Confidence
CVS Health,10/30/2018,Data Science,42.114,-87.87,Illinois,Onsite,Data Science Confidence
Good Year,10/30/2018,Data Science,41.06,-81.48,Ohio,Interview,Data Science Confidence
Carmax,10/30/2018,Data Science,37.53,-77.43,Virginia,Onsite,Data Science Confidence
PWC,11/2/2018,Data Science,41.89,-87.63,Illinois,Online,Data Science Confidence
Strong Io,11/2/2018,Data Science,41.8887,-87.627574,Illinois,Onsite,Data Science Confidence
Press Ganey,11/5/2018,Data Science,41.882,-87.635,Illinois,Online,Data Science Confidence
WindLogics,11/4/2018,Data Science,44.94,-93.08,Minnesota,Onsite,Data Science Confidence
